filename_key,GSE,tissue,species,category,description,modality,cell_count,drop_status
GSM7734713_MGH231_filtered_peak_bc_matrix,GSM7734713,other,human,Unknown,GSM7734713_MGH231_filtered_peak_bc_matrix,scatac,3720,kept
GSM7734714_MGH232_filtered_peak_bc_matrix,GSM7734714,other,human,Unknown,GSM7734714_MGH232_filtered_peak_bc_matrix,scatac,2496,kept
GSM7734715_MGH234_filtered_peak_bc_matrix,GSM7734715,other,human,Unknown,GSM7734715_MGH234_filtered_peak_bc_matrix,scatac,6357,kept
GSM7734716_MGH236_filtered_peak_bc_matrix,GSM7734716,other,human,Unknown,GSM7734716_MGH236_filtered_peak_bc_matrix,scatac,5754,kept
GSM7734717_MGH239_filtered_peak_bc_matrix,GSM7734717,other,human,Unknown,GSM7734717_MGH239_filtered_peak_bc_matrix,scatac,2981,kept
GSM7777060_CTRL_filtered_peak_bc_matrix,GSM7777060,other,human,Unknown,GSM7777060_CTRL_filtered_peak_bc_matrix,scatac,5814,kept
GSM7777061_2DG_filtered_peak_bc_matrix,GSM7777061,other,human,Unknown,GSM7777061_2DG_filtered_peak_bc_matrix,scatac,4074,kept
GSM7777062_DON_filtered_peak_bc_matrix,GSM7777062,other,human,Unknown,GSM7777062_DON_filtered_peak_bc_matrix,scatac,6433,kept
GSM7777063_AOA_filtered_peak_bc_matrix,GSM7777063,other,human,Unknown,GSM7777063_AOA_filtered_peak_bc_matrix,scatac,6819,kept
GSM7884540_D013_13_lobe_atac_filtered_peak_bc_matrix,GSM7884540,other,human,Unknown,GSM7884540_D013_13_lobe_atac_filtered_peak_bc_matrix,scatac,5876,kept
GSM7884541_D027_13_lobe_atac_filtered_peak_bc_matrix,GSM7884541,other,human,Unknown,GSM7884541_D027_13_lobe_atac_filtered_peak_bc_matrix,scatac,9868,kept
GSM7884543_D030_13_macular_atac_filtered_peak_bc_matrix,GSM7884543,other,human,Unknown,GSM7884543_D030_13_macular_atac_filtered_peak_bc_matrix,scatac,9640,kept
GSM7884545_D021_13_lobe_atac_filtered_peak_bc_matrix,GSM7884545,other,human,Unknown,GSM7884545_D021_13_lobe_atac_filtered_peak_bc_matrix,scatac,7682,kept
GSM7884549_D009_13_lobe_atac_filtered_peak_bc_matrix,GSM7884549,other,human,Unknown,GSM7884549_D009_13_lobe_atac_filtered_peak_bc_matrix,scatac,9041,kept
GSM7884550_D005_13_lobe_atac_filtered_peak_bc_matrix,GSM7884550,other,human,Unknown,GSM7884550_D005_13_lobe_atac_filtered_peak_bc_matrix,scatac,6390,kept
GSM8008841_vcap_d_filtered_peak_bc_matrix,GSM8008841,other,human,Unknown,GSM8008841_vcap_d_filtered_peak_bc_matrix,scatac,1077,kept
GSM8008842_vcap_enz_filtered_peak_bc_matrix,GSM8008842,other,human,Unknown,GSM8008842_vcap_enz_filtered_peak_bc_matrix,scatac,497,dropped_smallest
GSM8008843_vcap16_filtered_peak_bc_matrix,GSM8008843,other,human,Unknown,GSM8008843_vcap16_filtered_peak_bc_matrix,scatac,859,dropped_smallest
GSM8248668_4WKs_LN_neg_filtered_peak_bc_matrix,GSM8248668,other,unknown,Unknown,GSM8248668_4WKs_LN_neg_filtered_peak_bc_matrix,scatac,3134,dropped_unverifiable_orphan_gsm
GSM8248669_8WKs_NegBCG_filtered_peak_bc_matrix,GSM8248669,other,unknown,Unknown,GSM8248669_8WKs_NegBCG_filtered_peak_bc_matrix,scatac,4196,dropped_unverifiable_orphan_gsm
GSM8248670_8WKs_PosBCG_filtered_peak_bc_matrix,GSM8248670,other,unknown,Unknown,GSM8248670_8WKs_PosBCG_filtered_peak_bc_matrix,scatac,6718,dropped_unverifiable_orphan_gsm
GSM8248671_KKH95_filtered_peak_bc_matrix,GSM8248671,other,unknown,Unknown,GSM8248671_KKH95_filtered_peak_bc_matrix,scatac,1446,dropped_unverifiable_orphan_gsm
GSM8248672_370_neg_BCG_8wk_filtered_peak_bc_matrix,GSM8248672,other,unknown,Unknown,GSM8248672_370_neg_BCG_8wk_filtered_peak_bc_matrix,scatac,3020,dropped_unverifiable_orphan_gsm
GSM8248673_374_AS01_8wk_filtered_peak_bc_matrix,GSM8248673,other,unknown,Unknown,GSM8248673_374_AS01_8wk_filtered_peak_bc_matrix,scatac,4802,dropped_unverifiable_orphan_gsm
GSM8248674_373_pos_BCG_8wk_filtered_peak_bc_matrix,GSM8248674,other,unknown,Unknown,GSM8248674_373_pos_BCG_8wk_filtered_peak_bc_matrix,scatac,2764,dropped_unverifiable_orphan_gsm
GSM8248675_372_neg_BCG_16wk_filtered_peak_bc_matrix,GSM8248675,other,unknown,Unknown,GSM8248675_372_neg_BCG_16wk_filtered_peak_bc_matrix,scatac,3361,dropped_unverifiable_orphan_gsm
GSM8248676_376_AS01_16wk_filtered_peak_bc_matrix,GSM8248676,other,unknown,Unknown,GSM8248676_376_AS01_16wk_filtered_peak_bc_matrix,scatac,2164,dropped_unverifiable_orphan_gsm
GSM8397466_WT1_filtered_peak_bc_matrix,GSM8397466,other,mouse,Unknown,GSM8397466_WT1_filtered_peak_bc_matrix,scatac,18157,kept
GSM8397467_WT2_filtered_peak_bc_matrix,GSM8397467,other,mouse,Unknown,GSM8397467_WT2_filtered_peak_bc_matrix,scatac,4207,kept
