figure_id,comparison_id,reference,other,modality,metric,mean_diff,p_raw,p_holm,n_pairs,ci_lo,ci_hi
fig03,fig03_GAT-VAE_vs_VAE,GAT-VAE,VAE,scrna,trajectory_directionality_intrin,0.005995,0.208314,0.208314,45,-0.001442,0.013480
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,ASW,0.177037,0.000000,0.000000,45,0.158974,0.195816
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,CAL,3725.693080,0.000000,0.000000,45,3120.165751,4412.997088
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,DAV,-0.380906,0.000000,0.000000,45,-0.422901,-0.339415
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,K_max_tsne,-129.111111,0.000000,0.000000,45,-155.511667,-103.954444
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,K_max_umap,-130.955556,0.000000,0.000000,45,-154.800556,-109.244444
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,Q_global_tsne,0.014242,0.020265,0.020265,45,0.001850,0.026694
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,Q_global_umap,0.007852,0.216640,0.216640,45,-0.002710,0.018848
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,Q_local_tsne,0.104264,0.000000,0.000000,45,0.087517,0.124083
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,Q_local_umap,0.090196,0.000000,0.000000,45,0.073396,0.107925
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,anisotropy_score_intrin,0.085956,0.000000,0.000000,45,0.075842,0.096460
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,distance_correlation_tsne,0.017999,0.166570,0.166570,45,-0.015294,0.050708
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,distance_correlation_umap,0.020036,0.078162,0.186358,45,-0.006885,0.046760
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,manifold_dimensionality_intrin,0.151020,0.000000,0.000000,45,0.130648,0.172325
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,noise_resilience_intrin,0.237257,0.000000,0.000000,45,0.189114,0.290525
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,overall_quality_intrin,0.159826,0.000000,0.000000,45,0.142652,0.177857
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,overall_quality_tsne,0.045502,0.000010,0.000021,45,0.027600,0.063227
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,overall_quality_umap,0.039361,0.000012,0.000024,45,0.023514,0.054877
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,participation_ratio_intrin,0.184624,0.000000,0.000000,45,0.163672,0.208209
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,spectral_decay_rate_intrin,0.083410,0.000000,0.000000,45,0.076020,0.091265
fig04,fig04_CCVGAE_vs_CenVAE,CCVGAE,CenVAE,scrna,trajectory_directionality_intrin,0.164160,0.000000,0.000000,45,0.145642,0.184226
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,ASW,0.230940,0.000000,0.000000,45,0.212565,0.250429
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,CAL,3677.957099,0.000000,0.000000,45,3056.191508,4393.871223
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,DAV,-0.534559,0.000000,0.000000,45,-0.584785,-0.486585
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,K_max_tsne,-274.022222,0.000000,0.000000,45,-312.955556,-237.133333
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,K_max_umap,-258.555556,0.000000,0.000000,45,-291.690000,-228.198333
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,Q_global_tsne,-0.031432,0.000025,0.000050,45,-0.043746,-0.019074
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,Q_global_umap,-0.040226,0.000001,0.000004,45,-0.054044,-0.026789
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,Q_local_tsne,0.128374,0.000000,0.000000,45,0.115415,0.141603
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,Q_local_umap,0.100655,0.000000,0.000000,45,0.086350,0.114536
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,anisotropy_score_intrin,0.106431,0.000000,0.000000,45,0.091069,0.121673
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,distance_correlation_tsne,-0.089725,0.000020,0.000079,45,-0.125051,-0.054668
fig04,fig04_CCVGAE_vs_CouVAE,CCVGAE,CouVAE,scrna,distance_correlation_umap,-0.100124,0.000001,0.000005,45,-0.136000,-0.064994
