dataset_id,gse,modality,notebook_source,path_reference,priority,notes
GSM6449879_NSCLC14_NormalLung_TregandCD8posT_scATAC_filtered_peak_bc_matrix,GSE211087,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE211087/GSM6449879_NSCLC14_NormalLung_TregandCD8posT_scATAC_filtered_peak_bc_matrix.h5,1,Blood; Human; Regulatory T cell differentiation in tumors (Itahashi et al.)
GSM7056601_B6_joint_NCMs_filtered_feature_bc_matrix,GSE225801,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE225801/GSM7056601_B6_joint_NCMs_filtered_feature_bc_matrix.h5,1,Joint; Mouse; Synovial tissue-resident monocytes (Winter & Perlman)
GSM7062448_D8-1_filtered_peak_bc_matrix,GSE226067,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE226067/GSM7062448_D8-1_filtered_peak_bc_matrix.h5,1,Blood; Mouse; Antigen-specific CD8 T cells LCMV (Liu & Dong)
GSM7064218_19_D008_filtered_peak_bc_matrix,GSE226108,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE226108/GSM7064218_19_D008_filtered_peak_bc_matrix.h5,1,Retina; Human; Human retina multi-omics atlas (Chen et al.)
GSM7308366_Exp157DukeaBMTI_filtered_peak_bc_matrix,GSE232002,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE232002/GSM7308366_Exp157DukeaBMTI_filtered_peak_bc_matrix.h5,1,Blood; Mouse; Post-allo SCT innate lymphoid cells (Laurie et al.)
GSM7734711_MGH227_filtered_peak_bc_matrix,GSE241745,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE241745/GSM7734711_MGH227_filtered_peak_bc_matrix.h5,2,Brain; Human; IDH mutant gliomas chromatin (Wu et al.)
GSM7884547_19_D008_lobe_atac_filtered_peak_bc_matrix,GSE247157,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE247157/GSM7884547_19_D008_lobe_atac_filtered_peak_bc_matrix.h5,1,Retina; Human; Human retina genetic variant regulation (Chen et al.)
GSM8397468_Dnmt3a1_filtered_peak_bc_matrix,GSE272265,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE272265/GSM8397468_Dnmt3a1_filtered_peak_bc_matrix.h5,1,Blood; Mouse; DNMT3A clonal hematopoiesis sex differences (Stomper et al.)
GSM8757498_WT_filtered_peak_bc_matrix,GSE288015,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE288015/GSM8757498_WT_filtered_peak_bc_matrix.h5,1,Thymus; Mouse; Thymic iNKT cells in Prkd2/3 mice (Ishikawa et al.)
GSM8772512_WT_filtered_peak_bc_matrix,GSE288654,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE288654/GSM8772512_WT_filtered_peak_bc_matrix.h5,2,Bone; Mouse; Osteoclast differentiation (Das et al.)
GSM9163267_sc-0077_coch_atac_5min_filtered_peak_bc_matrix,GSE305163,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE305163/GSM9163267_sc-0077_coch_atac_5min_filtered_peak_bc_matrix.h5,1,Inner ear; Mouse; Cochlear hair cells noise exposure (Chung et al.)
GSM9045358_dCas9_NT_filtered_peak_bc_matrix,GSE299741,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE299741/GSM9045358_dCas9_NT_filtered_peak_bc_matrix.h5,1,Brain; Mouse; Cell-type epigenetic editing (Coda et al.)
GSE296197_scATACseq_AGGR_filtered_peak_bc_matrix,GSE296197,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE296197/GSE296197_scATACseq_AGGR_filtered_peak_bc_matrix.h5,2,Blood; Mouse; Vascular cell epigenomic landscape (Weldy)
GSM9039551_wt_filtered_peak_bc_matrix,GSE299466,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE299466/GSM9039551_wt_filtered_peak_bc_matrix.h5,1,Blood; Mouse; B cells post NP-OVA immunization (Morgan & Zhang)
GSM8797341_mm_scATAC_BM_KP_Nfe2l2_WT_filtered_peak_bc_matrix,GSE289708,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE289708/GSM8797341_mm_scATAC_BM_KP_Nfe2l2_WT_filtered_peak_bc_matrix.h5,1,Bone marrow; Mouse; Myeloid progenitor dysregulation in tumors (Hegde et al.)
GSM8069361_mm_scATACseq_BM_naive_filtered_peak_bc_matrix,GSE270148,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE270148/GSM8069361_mm_scATACseq_BM_naive_filtered_peak_bc_matrix.h5,1,Bone marrow; Mouse; Immunosuppressive macrophages in tumors (Hegde et al.)
GSM9080087_P1695_ATAC_MM_filtered_peak_bc_matrix,GSE301287,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE301287/GSM9080087_P1695_ATAC_MM_filtered_peak_bc_matrix.h5,2,Blood; Human; Antigen-directed therapy multiple myeloma (Lee et al.)
GSM8948079_Asp-Ag_iv_nega_14w_filtered_peak_bc_matrix,GSE295436,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE295436/GSM8948079_Asp-Ag_iv_nega_14w_filtered_peak_bc_matrix.h5,1,Lung; Mouse; Allergy/asthma immune regulation (Kiuchi et al.)
GSM9040799_HDM-only_filtered_peak_bc_matrix,GSE299558,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE299558/GSM9040799_HDM-only_filtered_peak_bc_matrix.h5,2,Lung; Mouse; Inhaled PRR agonists type 2 allergy (Ntita et al.)
GSE206767_filtered_peak_bc_matrix,GSE206767,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE206767/GSE206767_filtered_peak_bc_matrix.h5,2,Fibroblast; Mouse; Chemical reprogramming fibroblasts to neurons (Wang et al.)
GSM8997247_Sample2_filtered_peak_bc_matrix,GSE297712,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE297712/GSM8997247_Sample2_filtered_peak_bc_matrix.h5,1,Blood; Human; NK cell gene regulatory programs (Salem et al.)
GSM8395368_scATAC_P30_BG_Dlx_rep1_filtered_peak_bc_matrix,GSE272181,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE272181/GSM8395368_scATAC_P30_BG_Dlx_rep1_filtered_peak_bc_matrix.h5,1,Brain; Mouse; Basal ganglia Dlx interneuron chromatin P30 (Min Dai)
GSM8008841_vcap_d_filtered_peak_bc_matrix,GSE252843,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE252843/GSM8008841_vcap_d_filtered_peak_bc_matrix.h5,2,Prostate; Human; Prostate cancer AR splice variants (Poluben et al.)
GSM7605339_Ctrl_filtered_peak_bc_matrix,GSE237304,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE237304/GSM7605339_Ctrl_filtered_peak_bc_matrix.h5,2,Dental; Mouse; ARID1B dental mesenchymal stem cells incisor (Zhang)
GSM8002547_Chr-Veh_R1_filtered_peak_bc_matrix,GSE252523,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE252523/GSM8002547_Chr-Veh_R1_filtered_peak_bc_matrix.h5,2,Brain; Human; Glucocorticoid exposure brain organoid neurodevelopment (Dony et al.)
