dataset_id,gse,path_abs,tissue,organism,cell_count,n_genes,modality,provenance_dir,format,priority_guess
GSE117988_MCCPBMCCancer,GSE117988,/home/zeyufu/Downloads/CancerDatasets2/GSE117988_MCCPBMCCancer.h5ad,bone_marrow_blood,human,12874,17712,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE120575_melanomaHmCancer,GSE120575,/home/zeyufu/Downloads/CancerDatasets2/GSE120575_melanomaHmCancer.h5ad,skin,human,SKIPPED_>5GB,SKIPPED_>5GB,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE117988_MCCTumorCancer,GSE117988,/home/zeyufu/Downloads/CancerDatasets2/GSE117988_MCCTumorCancer.h5ad,unknown,unknown,7431,21861,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE149655_CAHmCancer,GSE149655,/home/zeyufu/Downloads/CancerDatasets2/GSE149655_CAHmCancer.h5ad,unknown,unknown,13060,33538,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
GSE225857_liverColonMetasisHmCancer,GSE225857,/home/zeyufu/Downloads/CancerDatasets2/GSE225857_liverColonMetasisHmCancer.h5ad,liver,unknown,22260,17943,scRNA,/home/zeyufu/Downloads/CancerDatasets2,h5ad,1
bm_GSE120446,GSE120446,/home/zeyufu/LAB/DATA/bm_GSE120446.h5ad,bone_marrow_blood,unknown,90653,33694,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
endo,unknown,/home/zeyufu/LAB/DATA/endo.h5ad,pancreas,unknown,2531,27998,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
lsklk,unknown,/home/zeyufu/LAB/DATA/lsklk.h5ad,bone_marrow_blood,mouse,46447,27207,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
setty,unknown,/home/zeyufu/LAB/DATA/setty.h5ad,unknown,unknown,5780,27876,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
GSE130646_muscleHm,GSE130646,/home/zeyufu/LAB/DATA/GSE130646_muscleHm.h5ad,muscle,unknown,2876,15406,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
pbmc,unknown,/home/zeyufu/LAB/DATA/pbmc.h5ad,bone_marrow_blood,human,2700,32738,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
hESC_GSE144024,GSE144024,/home/zeyufu/LAB/DATA/hESC_GSE144024.h5ad,stem_cell,human,9485,20335,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
GSE255019_hematoMmAged,GSE255019,/home/zeyufu/LAB/DATA/GSE255019_hematoMmAged.h5ad,bone_marrow_blood,unknown,22602,32288,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
irall,unknown,/home/zeyufu/LAB/DATA/irall.h5ad,bone_marrow_blood,unknown,41252,18876,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
neurons,unknown,/home/zeyufu/LAB/DATA/neurons.h5ad,brain_neural,unknown,20990,22806,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
endo_GSE84133,GSE84133,/home/zeyufu/LAB/DATA/endo_GSE84133.h5ad,pancreas,unknown,8569,20125,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
paul,unknown,/home/zeyufu/LAB/DATA/paul.h5ad,unknown,mouse,2730,3451,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
ifnHSPC_GSE226824,GSE226824,/home/zeyufu/LAB/DATA/ifnHSPC_GSE226824.h5ad,unknown,unknown,13310,27998,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
pbmc3k_raw,unknown,/home/zeyufu/LAB/DATA/pbmc3k_raw.h5ad,bone_marrow_blood,human,2700,32738,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
Myoblast_GSE52529,GSE52529,/home/zeyufu/LAB/DATA/Myoblast_GSE52529.h5ad,muscle,mouse,372,33083,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
lung,unknown,/home/zeyufu/LAB/DATA/lung.h5ad,lung,unknown,24882,24051,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
spinoids,unknown,/home/zeyufu/LAB/DATA/spinoids.h5ad,brain_neural,mouse,9619,20790,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
dentate,unknown,/home/zeyufu/LAB/DATA/dentate.h5ad,brain_neural,mouse,18213,27998,scRNA,/home/zeyufu/LAB/DATA,h5ad,2
paul15,unknown,/home/zeyufu/LAB/DATA/paul15/paul15.h5,unknown,mouse,unknown,unknown,scRNA,/home/zeyufu/LAB/DATA/paul15,h5_10x,2
bm_GSE120446,GSE120446,/home/zeyufu/vGAE_LAB/data/bm_GSE120446.h5ad,bone_marrow_blood,unknown,90653,33694,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
endo,unknown,/home/zeyufu/vGAE_LAB/data/endo.h5ad,pancreas,unknown,2531,27998,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
lsklk,unknown,/home/zeyufu/vGAE_LAB/data/lsklk.h5ad,bone_marrow_blood,mouse,46447,27207,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
setty,unknown,/home/zeyufu/vGAE_LAB/data/setty.h5ad,unknown,unknown,5780,27876,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
pbmc,unknown,/home/zeyufu/vGAE_LAB/data/pbmc.h5ad,bone_marrow_blood,human,2700,32738,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
hESC_GSE144024,GSE144024,/home/zeyufu/vGAE_LAB/data/hESC_GSE144024.h5ad,stem_cell,human,9485,20335,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
irall,unknown,/home/zeyufu/vGAE_LAB/data/irall.h5ad,bone_marrow_blood,unknown,41252,18876,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
neurons,unknown,/home/zeyufu/vGAE_LAB/data/neurons.h5ad,brain_neural,unknown,20990,22806,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
endo_GSE84133,GSE84133,/home/zeyufu/vGAE_LAB/data/endo_GSE84133.h5ad,pancreas,unknown,8569,20125,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
muscle,unknown,/home/zeyufu/vGAE_LAB/data/muscle.h5ad,muscle,unknown,2876,15406,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
paul,unknown,/home/zeyufu/vGAE_LAB/data/paul.h5ad,unknown,mouse,2730,3451,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
ifnHSPC_GSE226824,GSE226824,/home/zeyufu/vGAE_LAB/data/ifnHSPC_GSE226824.h5ad,unknown,unknown,13310,27998,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
Myoblast_GSE52529,GSE52529,/home/zeyufu/vGAE_LAB/data/Myoblast_GSE52529.h5ad,muscle,mouse,372,33083,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
lung,unknown,/home/zeyufu/vGAE_LAB/data/lung.h5ad,lung,unknown,24882,24051,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
hemato,unknown,/home/zeyufu/vGAE_LAB/data/hemato.h5ad,bone_marrow_blood,unknown,22602,32288,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
spinoids,unknown,/home/zeyufu/vGAE_LAB/data/spinoids.h5ad,brain_neural,mouse,9619,20790,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
dentate,unknown,/home/zeyufu/vGAE_LAB/data/dentate.h5ad,brain_neural,mouse,18213,27998,scRNA,/home/zeyufu/vGAE_LAB/data,h5ad,2
paul15,unknown,/home/zeyufu/vGAE_LAB/data/paul15/paul15.h5,unknown,mouse,unknown,unknown,scRNA,/home/zeyufu/vGAE_LAB/data/paul15,h5_10x,2
IRall1,unknown,/home/zeyufu/LAB/SCRL/IRall1.h5ad,bone_marrow_blood,unknown,41252,18876,scRNA,/home/zeyufu/LAB/SCRL,h5ad,2
IRALL,unknown,/home/zeyufu/LAB/SCRL/IRALL.h5ad,bone_marrow_blood,unknown,41252,18876,scRNA,/home/zeyufu/LAB/SCRL,h5ad,2
Endocri,unknown,/home/zeyufu/LAB/SCRL/Endocri.h5ad,pancreas,unknown,2531,27998,scRNA,/home/zeyufu/LAB/SCRL,h5ad,2
WT_0311,unknown,/home/zeyufu/LAB/SCRL/WT_0311.h5ad,unknown,unknown,SKIPPED_>5GB,SKIPPED_>5GB,scRNA,/home/zeyufu/LAB/SCRL,h5ad,2
wtko0312,unknown,/home/zeyufu/LAB/SCRL/wtko0312.h5ad,unknown,unknown,10224,15711,scRNA,/home/zeyufu/LAB/SCRL,h5ad,2
setty_bone_marrow,unknown,/home/zeyufu/LAB/SCRL/data/setty_bone_marrow.h5ad,bone_marrow_blood,unknown,5780,27876,scRNA,/home/zeyufu/LAB/SCRL/data,h5ad,2
zebrafish_embryogenesis_axial_mesoderm,unknown,/home/zeyufu/LAB/SCRL/data/zebrafish_embryogenesis_axial_mesoderm.h5ad,unknown,mouse,2434,23974,scRNA,/home/zeyufu/LAB/SCRL/data,h5ad,2
2020-11-14_MK_morris_reprogramming,unknown,/home/zeyufu/LAB/SCRL/data/2020-11-14_MK_morris_reprogramming.h5ad,unknown,unknown,104679,22630,scRNA,/home/zeyufu/LAB/SCRL/data,h5ad,2
lung_regeneration_after_bleo,unknown,/home/zeyufu/LAB/SCRL/data/lung_regeneration_after_bleo.h5ad,lung,mouse,24882,24051,scRNA,/home/zeyufu/LAB/SCRL/data,h5ad,2
reprogramming_schiebinger_only_serum,unknown,/home/zeyufu/LAB/SCRL/data/reprogramming_schiebinger_only_serum.h5ad,unknown,unknown,165892,19089,scRNA,/home/zeyufu/LAB/SCRL/data,h5ad,2
endocrinogenesis_day15.5,unknown,/home/zeyufu/LAB/SCRL/data/endocrinogenesis_day15.5.h5ad,pancreas,unknown,2531,27998,scRNA,/home/zeyufu/LAB/SCRL/data,h5ad,2
paul15,unknown,/home/zeyufu/LAB/SCRL/data/paul15/paul15.h5,unknown,mouse,unknown,unknown,scRNA,/home/zeyufu/LAB/SCRL/data/paul15,h5_10x,2
erythroid_lineage,unknown,/home/zeyufu/LAB/SCRL/data/Gastrulation/erythroid_lineage.h5ad,unknown,unknown,9815,53801,scRNA,/home/zeyufu/LAB/SCRL/data/Gastrulation,h5ad,2
adata,unknown,/home/zeyufu/Downloads/adata.h5ad,unknown,unknown,2730,3451,scRNA,/home/zeyufu/Downloads,h5ad,2
hESC_GSE144024,GSE144024,/home/zeyufu/Downloads/hESC_GSE144024.h5ad,stem_cell,human,9485,20335,scRNA,/home/zeyufu/Downloads,h5ad,2
endo,unknown,/home/zeyufu/LAB/SCFOCUS/export_datas/endo.h5ad,pancreas,unknown,2531,27998,scRNA,/home/zeyufu/LAB/SCFOCUS/export_datas,h5ad,2
setty,unknown,/home/zeyufu/LAB/SCFOCUS/export_datas/setty.h5ad,unknown,unknown,5780,27876,scRNA,/home/zeyufu/LAB/SCFOCUS/export_datas,h5ad,2
pbmc,unknown,/home/zeyufu/LAB/SCFOCUS/export_datas/pbmc.h5ad,bone_marrow_blood,human,2700,32738,scRNA,/home/zeyufu/LAB/SCFOCUS/export_datas,h5ad,2
neurons,unknown,/home/zeyufu/LAB/SCFOCUS/export_datas/neurons.h5ad,brain_neural,unknown,20990,22806,scRNA,/home/zeyufu/LAB/SCFOCUS/export_datas,h5ad,2
muscle,unknown,/home/zeyufu/LAB/SCFOCUS/export_datas/muscle.h5ad,muscle,unknown,2876,15406,scRNA,/home/zeyufu/LAB/SCFOCUS/export_datas,h5ad,2
