dataset_id,gse,path_abs,tissue,organism,cell_count,n_genes,modality,provenance_dir,format,priority_guess
GSE198730_aPSM_scATAC_rep1_filtered_peak_bc_matrix,GSE198730,/home/zeyufu/Downloads/ATAC_data/GSE198730_aPSM_scATAC_rep1_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,5010,88865,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8248673_374_AS01_8wk_filtered_peak_bc_matrix,GSM8248673,/home/zeyufu/Downloads/ATAC_data/GSM8248673_374_AS01_8wk_filtered_peak_bc_matrix.h5ad,unknown,unknown,4802,83095,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8900549_sample2_ATAC_filtered_peak_bc_matrix,GSM8900549,/home/zeyufu/Downloads/ATAC_data/GSM8900549_sample2_ATAC_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,16778,23954,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8462147_AL12_ATAC_filtered_peak_bc_matrix,GSM8462147,/home/zeyufu/Downloads/ATAC_data/GSM8462147_AL12_ATAC_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,5048,49095,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7064215_19_D005_filtered_peak_bc_matrix,GSM7064215,/home/zeyufu/Downloads/ATAC_data/GSM7064215_19_D005_filtered_peak_bc_matrix.h5ad,unknown,unknown,10545,81153,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8462144_AL08_ATAC_filtered_peak_bc_matrix,GSM8462144,/home/zeyufu/Downloads/ATAC_data/GSM8462144_AL08_ATAC_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,4116,51479,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8462146_AL11_ATAC_filtered_peak_bc_matrix,GSM8462146,/home/zeyufu/Downloads/ATAC_data/GSM8462146_AL11_ATAC_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,2075,99599,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5769456_DTR_S_filtered_peak_bc_matrix,GSM5769456,/home/zeyufu/Downloads/ATAC_data/GSM5769456_DTR_S_filtered_peak_bc_matrix.h5ad,unknown,unknown,4320,96860,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix,GSM8852349,/home/zeyufu/Downloads/ATAC_data/GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix.h5ad,unknown,unknown,16176,80719,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7062450_D180_filtered_peak_bc_matrix,GSM7062450,/home/zeyufu/Downloads/ATAC_data/GSM7062450_D180_filtered_peak_bc_matrix.h5ad,unknown,unknown,3693,100305,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
