filename_key,modality,GSE,species_corrected,tissue,cell_count,has_h5ad,in_reconciled,in_encoder_sweep
GSM6449881_HD4_CD4CD25posT_scATAC_filtered_peak_bc_matrix,scatac,GSM6449881,human,other,3473,True,True,False
GSM5124061_PDX_390_vehicle_peak_bc_matrix,scatac,GSM5124061,human,PDX,3350,True,True,False
GSM6044076_2LM_human_filtered_peak_bc_matrix,scatac,GSM6044076,human,other,3329,True,True,False
GSM6449880_HD4_PBMC_eTreg_scATAC_filtered_peak_bc_matrix,scatac,GSM6449880,human,PBMC,3303,True,True,False
GSM6044073_2P_human_filtered_peak_bc_matrix,scatac,GSM6044073,human,other,3268,True,True,False
GSM5769462_Day7_DTR_S_filtered_peak_bc_matrix,scatac,GSM5769462,zebrafish,other,3267,True,True,False
GSM5769463_Day7_DTR_U_filtered_peak_bc_matrix,scatac,GSM5769463,zebrafish,other,3187,True,True,False
GSM6449878_NSCLC8_TIL_eTreg_scATAC_filtered_peak_bc_matrix,scatac,GSM6449878,human,other,3179,True,True,False
GSM8852347_MH_07_042_M2_filtered_peak_bc_matrix,scatac,GSM8852347,human,other,3147,True,True,False
GSM6783751_d20-p100_filtered_peak_bc_matrix,scatac,GSM6783751,human,other,3084,True,True,False
GSM8002549_Veh-Veh_R1_filtered_peak_bc_matrix,scatac,GSM8002549,human,,0,True,True,False
GSM8069371_hs_scATACseq_PBMC_Lu912_filtered_peak_bc_matrix,scatac,GSM8069371,human,,0,True,True,False
GSM8196958_MCF7_2_1_filtered_peak_bc_matrix,scatac,GSM8196958,human,,0,True,True,False
GSM8248668_4WKs_LN_neg_filtered_peak_bc_matrix,scatac,GSM8248668,human,blood,3134,True,True,False
GSM8248669_8WKs_NegBCG_filtered_peak_bc_matrix,scatac,GSM8248669,human,blood,4196,True,True,False
GSM8248670_8WKs_PosBCG_filtered_peak_bc_matrix,scatac,GSM8248670,human,blood,6718,True,True,False
GSM8248673_374_AS01_8wk_filtered_peak_bc_matrix,scatac,GSM8248673,human,blood,4802,True,True,False
GSM8248672_370_neg_BCG_8wk_filtered_peak_bc_matrix,scatac,GSM8248672,human,blood,3020,True,True,False
GSM9045359_dCas9_Arc_filtered_peak_bc_matrix,scatac,GSM9045359,mouse,,0,True,True,False
GSM8248675_372_neg_BCG_16wk_filtered_peak_bc_matrix,scatac,GSM8248675,human,blood,3361,True,True,False
GSM8395368_scATAC_P30_BG_Dlx_rep1_filtered_peak_bc_matrix,scatac,GSM8395368,mouse,,0,True,True,False
GSM8757498_WT_filtered_peak_bc_matrix,scatac,GSM8757498,mouse,,0,True,True,False
GSM8797342_mm_scATAC_BM_KP_Nfe2l2_KO_filtered_peak_bc_matrix,scatac,GSM8797342,mouse,,0,True,True,False
GSM8948080_Asp-Ag_iv_posi_14w_filtered_peak_bc_matrix,scatac,GSM8948080,human,,0,True,True,False
GSM9039551_wt_filtered_peak_bc_matrix,scatac,GSM9039551,mouse,,0,True,True,False
GSM9040799_HDM-only_filtered_peak_bc_matrix,scatac,GSM9040799,mouse,,0,True,True,False
GSM7605339_Ctrl_filtered_peak_bc_matrix,scatac,GSM7605339,mouse,,0,True,True,False
GSM9080087_P1695_ATAC_MM_filtered_peak_bc_matrix,scatac,GSM9080087,human,,0,True,True,False
GSM7919028_1B_BMDM_LA_0h_filtered_peak_bc_matrix,scatac,GSM7919028,mouse,,0,True,True,False
GSM6598797_CD_filtered_peak_bc_matrix,scatac,GSM6598797,mouse,,0,True,True,False
GSM7471120_Day10-WT-OT-I_filtered_peak_bc_matrix,scatac,GSM7471120,mouse,,0,True,True,False
GSM6071618_filtered_peak_bc_matrix_fl09,scatac,GSM6071618,human,,0,True,True,False
GSE213469_filtered_peak_bc_matrix,scatac,GSE213469,mouse,,0,True,True,False
GSE216175_filtered_peak_bc_matrix,scatac,GSE216175,human,,0,True,True,False
